.imp,arm,arm_id,truncation,n,mean,sd,min,p01,p05,p25,median,p75,p95,p99,max,gt10,gt20,gt50
2,0-3h,1,p01_p99,3439,0.936388092580856,0.621071942808153,0.193372902472958,0.193500366715377,0.242337114938259,0.468608945372776,0.70881365784198,1.34459654717946,2.12715083202605,3.02158703188201,3.02510165770173,0,0,0
2,0-3h,1,p05_p95,3439,0.918416740850891,0.569073059504422,0.242337114938259,0.242337114938259,0.242374339254722,0.468608945372776,0.70881365784198,1.34459654717946,2.12706692360895,2.12715083202605,2.12715083202605,0,0,0
2,3-6h,2,none,3241,0.964652752574517,0.280721353008793,0.283334045928507,0.42904851317743,0.569592890946547,0.771113222706912,0.942257967763615,1.05788727142589,1.51583555462988,1.79478784930364,2.32443550271829,0,0,0
2,3-6h,2,p01_p99,3241,0.963914571006193,0.27574743766683,0.42904851317743,0.430190237240477,0.569592890946547,0.771113222706912,0.942257967763615,1.05788727142589,1.51583555462988,1.79420049668911,1.79478784930364,0,0,0
2,3-6h,2,p05_p95,3241,0.959926617206234,0.250187041920321,0.569592890946547,0.569592890946547,0.569592890946547,0.771113222706912,0.942257967763615,1.05788727142589,1.51583555462988,1.51583555462988,1.51583555462988,0,0,0
2,6-12h,3,none,5017,1.01916911295635,0.562688581128461,0.488519781206404,0.554995418769062,0.63503592984441,0.755254639119825,0.81834250050061,0.991570091594682,2.34860175466005,3.235620259183,5.96784338342312,0,0,0
2,6-12h,3,p01_p99,5017,1.01395549124908,0.535018071263633,0.554995418769062,0.555052812080376,0.63503592984441,0.755254639119825,0.81834250050061,0.991570091594682,2.34860175466005,3.23532952689509,3.235620259183,0,0,0
2,6-12h,3,p05_p95,5017,0.990142205780935,0.443880763658955,0.63503592984441,0.63503592984441,0.635197209906373,0.755254639119825,0.81834250050061,0.991570091594682,2.34787775656351,2.34860175466005,2.34860175466005,0,0,0
3,0-3h,1,none,3439,0.94259833483831,0.646489514776572,0.182230984534482,0.193369010725568,0.242353240151625,0.468623682150779,0.70877439109248,1.34465329645646,2.1275280486516,3.02471473538858,4.74355197361661,0,0,0
3,0-3h,1,p01_p99,3439,0.936368875854504,0.621102450119648,0.193369010725568,0.193496553092429,0.242353240151625,0.468623682150779,0.70877439109248,1.34465329645646,2.1275280486516,3.0211767729044,3.02471473538858,0,0,0
