.imp,variable,variable_label,level,arm,arm_id,n_level,pct_level,weighted_pct_level,min_n_across_arms,min_weighted_pct_across_arms,zero_count_arm_n
1,race_group,Race group,HISPANIC,3-6h,2,101,0.031163221228016,0.0321392016697754,101,0.0314177680776873,0
1,race_group,Race group,HISPANIC,6-12h,3,179,0.0356786924456847,0.0314177680776873,101,0.0314177680776873,0
1,race_group,Race group,OTHER,0-3h,1,151,0.0439081128234952,0.0423921776474214,131,0.0391467014536017,0
1,race_group,Race group,OTHER,3-6h,2,131,0.0404196235729713,0.0401633060053155,131,0.0391467014536017,0
1,race_group,Race group,OTHER,6-12h,3,190,0.0378712377915089,0.0391467014536017,131,0.0391467014536017,0
1,race_group,Race group,UNKNOWN,0-3h,1,736,0.214015702239023,0.174296338838105,613,0.161510308157988,0
1,race_group,Race group,UNKNOWN,3-6h,2,613,0.189139154581919,0.187295830379944,613,0.161510308157988,0
1,race_group,Race group,UNKNOWN,6-12h,3,644,0.128363563882798,0.161510308157988,613,0.161510308157988,0
1,race_group,Race group,WHITE,0-3h,1,2133,0.620238441407386,0.639543724426861,2048,0.632435376383442,0
1,race_group,Race group,WHITE,3-6h,2,2048,0.631903733415613,0.632435376383442,2048,0.632435376383442,0
1,race_group,Race group,WHITE,6-12h,3,3333,0.664341239784732,0.654878671693041,2048,0.632435376383442,0
2,race_group,Race group,ASIAN,0-3h,1,97,0.0282058738005234,0.0271539244569906,83,0.0271539244569906,0
2,race_group,Race group,ASIAN,3-6h,2,83,0.0256093798210429,0.0286130247837531,83,0.0271539244569906,0
2,race_group,Race group,ASIAN,6-12h,3,172,0.0342834363165238,0.0304670096328089,83,0.0271539244569906,0
2,race_group,Race group,BLACK,0-3h,1,208,0.0604826984588543,0.0843722824224482,208,0.0793642182823973,0
2,race_group,Race group,BLACK,3-6h,2,265,0.0817648873804381,0.0793642182823973,208,0.0793642182823973,0
2,race_group,Race group,BLACK,6-12h,3,499,0.0994618297787522,0.0825767520450122,208,0.0793642182823973,0
2,race_group,Race group,HISPANIC,0-3h,1,114,0.0331491712707182,0.0322562046514886,101,0.0314212830524178,0
2,race_group,Race group,HISPANIC,3-6h,2,101,0.031163221228016,0.0321749642105899,101,0.0314212830524178,0
2,race_group,Race group,HISPANIC,6-12h,3,179,0.0356786924456847,0.0314212830524178,101,0.0314212830524178,0
2,race_group,Race group,OTHER,0-3h,1,151,0.0439081128234952,0.0423932382943336,131,0.0391475985388355,0
2,race_group,Race group,OTHER,3-6h,2,131,0.0404196235729713,0.0401619665275851,131,0.0391475985388355,0
